STIMP 4.1?m – Uphill (15?cm past),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slope elevation (centimeters),,,,,,,,,,,,,,,,,,,,,,,,,,,
16.8,37,37,37,40,40,40,40,40,40,40,43,43,43,43,43,43,43,47,47,47,47,47,47,47,50,50,50,50
17.1,37,37,40,40,40,40,40,40,40,43,43,43,43,43,43,43,47,47,47,47,47,47,47,50,50,50,50,50
17.4,37,40,40,40,40,40,40,40,43,43,43,43,43,43,43,47,47,47,47,47,47,47,50,50,50,50,50,50
17.7,40,40,40,40,40,40,40,43,43,43,43,43,43,43,47,47,47,47,47,47,47,50,50,50,50,50,50,50
18,40,40,40,40,40,40,43,43,43,43,43,43,43,47,47,47,47,47,47,47,50,50,50,50,50,50,50,53
18.3,40,40,40,40,40,43,43,43,43,43,43,43,47,47,47,47,47,47,47,50,50,50,50,50,50,50,53,53
18.6,40,40,40,40,43,43,43,43,43,43,43,47,47,47,47,47,47,47,50,50,50,50,50,50,50,53,53,53
18.9,40,40,40,43,43,43,43,43,43,43,47,47,47,47,47,47,47,50,50,50,50,50,50,50,53,53,53,53
19.2,40,40,43,43,43,43,43,43,43,47,47,47,47,47,47,47,50,50,50,50,50,50,50,53,53,53,53,53
19.5,40,43,43,43,43,43,43,43,47,47,47,47,47,47,47,50,50,50,50,50,50,50,53,53,53,53,53,53
19.8,43,43,43,43,43,43,43,47,47,47,47,47,47,47,50,50,50,50,50,50,50,53,53,53,53,53,53,53
20.1,43,43,43,43,43,43,47,47,47,47,47,47,47,50,50,50,50,50,50,50,53,53,53,53,53,53,53,56
