STIMP 2.7?m – Downhill (30?cm past),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slope elevation (centimeters),,,,,,,,,,,,,,,,,,,,,,,,,,,
17.1,51,51,48,48,48,48,48,45,45,45,45,45,42,42,42,42,42,38,38,38,38,38,35,35,35,35,35,32
17.4,51,51,51,48,48,48,48,48,45,45,45,45,45,42,42,42,42,42,38,38,38,38,38,35,35,35,35,35
17.7,51,51,51,51,48,48,48,48,48,45,45,45,45,45,42,42,42,42,42,38,38,38,38,38,35,35,35,35
18,51,51,51,51,51,48,48,48,48,48,45,45,45,45,45,42,42,42,42,42,38,38,38,38,38,35,35,35
18.3,54,51,51,51,51,51,48,48,48,48,48,45,45,45,45,45,42,42,42,42,42,38,38,38,38,38,35,35
18.6,54,54,51,51,51,51,51,48,48,48,48,48,45,45,45,45,45,42,42,42,42,42,38,38,38,38,38,35
18.9,54,54,54,51,51,51,51,51,48,48,48,48,48,45,45,45,45,45,42,42,42,42,42,38,38,38,38,38
19.2,54,54,54,54,51,51,51,51,51,48,48,48,48,48,45,45,45,45,45,42,42,42,42,42,38,38,38,38
19.5,54,54,54,54,54,51,51,51,51,51,48,48,48,48,48,45,45,45,45,45,42,42,42,42,42,38,38,38
19.8,57,54,54,54,54,54,51,51,51,51,51,48,48,48,48,48,45,45,45,45,45,42,42,42,42,42,38,38
20.1,57,57,54,54,54,54,54,51,51,51,51,51,48,48,48,48,48,45,45,45,45,45,42,42,42,42,42,38
