STIMP 4.3?m – Uphill (15?cm past),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slope elevation (centimeters),,,,,,,,,,,,,,,,,,,,,,,,,,,
16.8,37,37,37,40,40,40,40,40,40,43,43,43,43,43,43,46,46,46,46,46,46,49,49,49,49,49,49,52
17.1,37,37,40,40,40,40,40,40,43,43,43,43,43,43,46,46,46,46,46,46,49,49,49,49,49,49,52,52
17.4,37,40,40,40,40,40,40,43,43,43,43,43,43,46,46,46,46,46,46,49,49,49,49,49,49,52,52,52
17.7,40,40,40,40,40,40,43,43,43,43,43,43,46,46,46,46,46,46,49,49,49,49,49,49,52,52,52,52
18,40,40,40,40,40,43,43,43,43,43,43,46,46,46,46,46,46,49,49,49,49,49,49,52,52,52,52,52
18.3,40,40,40,40,40,43,43,43,43,43,46,46,46,46,46,46,49,49,49,49,49,49,52,52,52,52,52,52
18.6,40,40,40,40,43,43,43,43,43,46,46,46,46,46,46,49,49,49,49,49,49,52,52,52,52,52,52,55
18.9,40,40,40,43,43,43,43,43,43,46,46,46,46,46,49,49,49,49,49,49,52,52,52,52,52,52,55,55
19.2,40,40,43,43,43,43,43,43,46,46,46,46,46,49,49,49,49,49,49,52,52,52,52,52,52,55,55,55
19.5,40,43,43,43,43,43,43,46,46,46,46,46,49,49,49,49,49,49,52,52,52,52,52,52,55,55,55,55
19.8,43,43,43,43,43,43,46,46,46,46,46,49,49,49,49,49,49,52,52,52,52,52,52,55,55,55,55,55
20.1,43,43,43,43,43,46,46,46,46,46,49,49,49,49,49,49,52,52,52,52,52,52,55,55,55,55,55,55
