STIMP 4.4?m – Uphill (15?cm past),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slope elevation (centimeters),,,,,,,,,,,,,,,,,,,,,,,,,,,
16.8,40,40,40,40,40,43,43,43,43,43,43,50,50,50,50,50,50,53,53,53,53,53,53,56,56,56,56,56
17.1,40,40,40,40,43,43,43,43,43,43,50,50,50,50,50,50,53,53,53,53,53,53,56,56,56,56,56,56
17.4,40,40,40,43,43,43,43,43,43,50,50,50,50,50,50,53,53,53,53,53,53,56,56,56,56,56,56,59
17.7,40,40,43,43,43,43,43,43,50,50,50,50,50,50,53,53,53,53,53,53,56,56,56,56,56,56,59,59
18,40,43,43,43,43,43,43,50,50,50,50,50,50,53,53,53,53,53,53,56,56,56,56,56,56,59,59,59
18.3,43,43,43,43,43,43,50,50,50,50,50,50,53,53,53,53,53,53,56,56,56,56,56,56,59,59,59,59
18.6,43,43,43,43,43,50,50,50,50,50,50,53,53,53,53,53,53,56,56,56,56,56,56,59,59,59,59,59
18.9,43,43,43,43,50,50,50,50,50,50,53,53,53,53,53,53,56,56,56,56,56,56,59,59,59,59,59,59
19.2,43,43,43,50,50,50,50,50,50,53,53,53,53,53,53,56,56,56,56,56,56,59,59,59,59,59,59,62
19.5,43,43,50,50,50,50,50,50,53,53,53,53,53,53,56,56,56,56,56,56,59,59,59,59,59,59,62,62
19.8,43,50,50,50,50,50,50,53,53,53,53,53,53,56,56,56,56,56,56,59,59,59,59,59,59,62,62,62
20.1,50,50,50,50,50,50,53,53,53,53,53,53,56,56,56,56,56,56,59,59,59,59,59,59,62,62,62,62
