STIMP 2.7?m – Uphill (30?cm past),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slope elevation (centimeters),,,,,,,,,,,,,,,,,,,,,,,,,,,
16.5,50,50,50,50,50,53,53,53,53,53,53,56,56,56,56,59,59,59,59,59,62,62,62,62,62,65,65,65
16.8,50,50,50,50,53,53,53,53,53,53,56,56,56,56,59,59,59,59,59,62,62,62,62,62,65,65,65,65
17.1,50,50,53,53,53,53,53,53,56,56,56,56,56,59,59,59,59,59,62,62,62,62,62,65,65,65,65,65
17.4,50,53,53,53,53,53,53,56,56,56,56,56,59,59,59,59,59,62,62,62,62,62,65,65,65,65,65,68
17.7,53,53,53,53,53,53,56,56,56,56,56,59,59,59,59,59,62,62,62,62,62,65,65,65,65,65,68,68
18,53,53,53,53,53,56,56,56,56,56,59,59,59,59,59,62,62,62,62,62,65,65,65,65,65,68,68,68
18.3,53,53,53,53,56,56,56,56,59,59,59,59,59,59,62,62,62,62,62,65,65,65,65,65,68,68,68,68
18.6,53,53,56,56,56,56,56,59,59,59,59,59,59,62,62,62,62,62,65,65,65,65,65,68,68,68,68,68
18.9,53,56,56,56,56,56,59,59,59,59,59,59,62,62,62,62,62,65,65,65,65,65,68,68,68,68,68,71
19.2,56,56,56,56,56,59,59,59,59,59,59,62,62,62,62,62,65,65,65,65,65,68,68,68,68,68,71,71
19.5,56,56,56,56,59,59,59,59,59,59,62,62,62,62,62,65,65,65,65,65,68,68,68,68,68,71,71,71
19.8,56,56,59,59,59,59,59,59,62,62,62,62,62,62,65,65,65,65,65,68,68,68,68,68,71,71,71,71
20.1,56,59,59,59,59,59,59,62,62,62,62,62,62,65,65,65,65,65,68,68,68,68,68,71,71,71,71,71
