STIMP 2.9?m – Downhill (30?cm past),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slope elevation (centimeters),,,,,,,,,,,,,,,,,,,,,,,,,,,
17.4,55,51,51,51,51,47,47,47,47,47,44,44,44,44,41,41,41,41,41,38,38,38,38,35,35,35,35,35
17.7,55,55,51,51,51,51,47,47,47,47,47,44,44,44,44,41,41,41,41,41,38,38,38,38,35,35,35,35
18,55,55,55,51,51,51,51,47,47,47,47,47,44,44,44,44,41,41,41,41,41,38,38,38,38,35,35,35
18.3,55,55,55,55,51,51,51,51,47,47,47,47,47,44,44,44,44,41,41,41,41,41,38,38,38,38,35,35
18.6,55,55,55,55,55,51,51,51,51,47,47,47,47,47,44,44,44,44,41,41,41,41,41,38,38,38,38,35
18.9,58,55,55,55,55,55,51,51,51,51,47,47,47,47,47,44,44,44,44,41,41,41,41,41,38,38,38,38
19.2,58,58,55,55,55,55,55,51,51,51,51,47,47,47,47,47,44,44,44,44,41,41,41,41,41,38,38,38
19.5,58,58,58,55,55,55,55,55,51,51,51,51,47,47,47,47,47,44,44,44,44,41,41,41,41,41,38,38
19.8,58,58,58,58,55,55,55,55,55,51,51,51,51,47,47,47,47,47,44,44,44,44,41,41,41,41,41,38
20.1,58,58,58,58,58,55,55,55,55,55,51,51,51,51,47,47,47,47,47,44,44,44,44,41,41,41,41,41
